F L2 U2 D L' R2 U2 D2 B U D F2 L' D2 B L B2 D2 F2 U'
L2 B R2 B U B2 D' B D' U L2 F2 R' U2 L R D2 L D' R2
U D2 B2 L' U2 R U' B' D L' B D2 F L D2 B' L' R' D B2
B R2 B' R U' D F L' D L R D2 U' F2 B' U D' B D2 F'
D2 L U2 L R2 F2 L B R L' U' F D' L' D F' U2 D' R U2
D R2 D' B' U2 D B' U2 F2 L' B R D' B2 L B' F' L F' B2
B D2 L2 F U' F' R' L D L' D' B' D2 F U L2 U' R2 F2 D
U2 F D U' B2 R2 B' D' U' F2 U2 F' B' U D R' U' F L F2
F2 B L' B D' U F' R' B U' L' F' L U2 F' D2 F2 R' B' D2
L R F' D2 L2 R F' R2 B' D2 B L2 D' F' R L' D' L B2 R2
F2 R B L' F' D' L2 B' R' L2 B2 D B U2 D' L' U B' U' D2
D L2 D B F2 D2 R2 D' F2 R L' D2 L2 D2 L U R2 F L2 D
B F' R2 D' U' B2 D2 B2 F R' F L2 F2 D L' B U' F' B D'
B' U2 B' L2 U' F' U R D' L2 R2 D2 B2 F' R' L' U' D' F' B2
B F' R B' F L B D2 F2 D2 B2 R2 B F L U' D' F U' R'
F2 R2 D L' U D2 F2 L B2 D B U' R' B' D2 B R2 F' D R2
R F' L2 F' L D' L D U2 B' U2 D F2 D L2 D R B' U2 R
B2 D2 U B D F U' F2 U B R L2 B F2 D' U2 F' B2 L' D2
U2 R D' F R2 F L' U2 D' F2 D R F' U2 F D2 F' L F' D'
B' D' L R' B R2 U2 R2 B L2 F R' U2 B R2 U D L' F2 U'
L' D R U L2 F R B' R2 B L2 R2 U R2 L' B2 U L' D' U2
U' R' B F2 U B R U F2 U L' R2 B' F R' D F' D U2 B'
R2 U L F U' R L D F2 B' R' D U2 F' U L2 F' L U' B'
R2 B F' R2 F2 R2 B2 L' D' R2 F2 R2 F' U R U2 R2 L2 D F'
L2 B' L' F' D' U' B2 U D R2 L' B2 R2 L U F L' U' F2 R2
L2 R' F' D' R' U2 F2 R L F R2 F2 D R U L2 B2 R D U'
F2 U2 R' B L2 U' L2 U R' F2 L R2 D2 F L2 R' B D R' U2
R U R2 L' B2 L' F2 B' L R' U' B2 L2 D' B' D' L U2 D2 L'
F R' F2 R D U2 R2 B2 R2 B2 U B F R2 D R2 D' B' F' R'
U' D B2 F L2 B2 L' F2 D' B L' D U R' L2 U L2 R F2 D
R' B2 F' L' U R U F2 D B2 R2 B2 R' U' R D' B' R' U' R
U2 L R' U' D2 F' R2 D2 L F B D B R' F2 L' F2 U' L F2
L' F' B R' U L' U' L2 B R' L' B2 F2 R2 B D2 U F R D2
D' L' F L F' R D B' U L U B F U' F2 D B2 L' U B2
D B2 D2 R U2 R2 L' F B' U2 F2 B2 D L2 B2 D2 R' D F U2
B L2 F2 R' L2 D' R2 D B2 U D' L' F2 R B R' F2 U' D2 L'
B U2 R2 U2 F2 R2 D R' D2 L B2 L2 D B L B2 U L' B' U'
L B2 F2 D2 U' R F2 R D L2 D R2 D' F2 B U R2 U' D F2
